Coin,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
@107,29992.0,17166.0,0.572352627367298,55760858.63,2783912.919016,5953.224787990001,2777959.6942280103,92.62335603587657,161.84589267208435,6.893463499999999,0.8143423045555167,8.073752489310742,3171000.8775350004,-392754.283926,49.81916997837323,1.0676350641392554
HYPE,68005.0,32011.0,0.4707153885743695,141990206.05,1948484.599761,25361.93044,1923122.669321,28.279136377045806,60.42570862559746,5.654498,0.8731373590328325,12.448635042502053,2103240.893592,-168953.534778,13.544051542849353,1.7861746345426899
SOL,10691.0,5030.0,0.47048919652043775,125074752.06,1639555.927506,27956.304402,1611599.6231040002,150.74358087213545,323.229717733002,10.0264475,0.8178926441351889,11.42842755012093,1781750.622404,-155905.142207,12.885091487776004,2.2351676850487774
ETH,11158.0,5228.0,0.4685427495967019,118280994.07,1319978.838852,23091.303645,1296887.5352069999,116.22939014222978,250.30209351052025,8.668663500000001,0.754973221117062,2.727019059875226,2066289.1902800002,-757709.845407,10.964462595228847,1.9522412562185867
BTC,26064.0,11009.0,0.42238336402701043,644232116.63,868044.732638,139224.226804,728820.5058340001,27.962726589702275,72.59750642256336,4.090134999999999,0.809246979743846,2.772790264023361,1250055.3353169998,-450829.387111,1.1313011056426134,2.1610879558797325
MELANIA,4428.0,2211.0,0.4993224932249323,7040710.449999999,390351.069856,1010.388542,389340.68131400004,87.92698313324301,176.26083004432382,33.924504,0.8891904115784712,12.526020771492641,423524.251094,-33811.55586600001,55.29849353682768,1.4350661757436711
ENA,990.0,332.0,0.33535353535353535,1625400.5,217329.50355400002,276.42787799999996,217053.075676,219.2455309858586,654.2627686746987,38.157366,0.9337349397590361,43.85821572844748,222283.46790500003,-5068.228705,133.53821145988329,1.700675482750251
SUI,1979.0,893.0,0.4512379989893886,7781167.59,199268.834922,2003.2061290000001,197265.628793,99.67944860687216,221.71530713661812,28.918451,0.9395296752519597,275.0219711549161,198714.309033,-722.5397599999999,25.35167460555878,2.5744287162950052
ZRO,1239.0,794.0,0.6408393866020985,1213825.4200000002,183777.78368899997,234.06900299999998,183543.714686,148.1385913527038,231.27602888539042,3.2933744999999996,0.5730478589420654,43.9312587760887,187910.543657,-4277.376722,151.2109663068351,1.9283580582782651
DOGE,826.0,459.0,0.5556900726392252,2452103.46,147543.156534,522.224289,147020.93224499997,177.99144339588375,320.8627448431373,7.673957000000001,0.869281045751634,90.37134938296467,148923.910549,-1647.910666,59.95706732741203,2.1296992460505724
PURR/USDC,2774.0,1187.0,0.4279019466474405,1642418.6900000002,75261.05801899999,1844.556381,73416.50163799999,26.46593426027397,63.23635281971357,9.395801,0.8331929233361416,3.9502550062271795,100503.944976,-25442.394179,44.70023513797202,11.230731799575418
AIXBT,819.0,494.0,0.6031746031746031,1273650.18,73712.168895,353.55575799999997,73358.61313700001,89.57095621123322,148.85678242510122,18.7361705,0.9615384615384616,76.51008401878357,74509.097276,-973.846758,57.59714424646806,2.7759251602351283
