Coin,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
@107,Extreme Greed,10403.0,6341.0,0.6095357108526387,20452573.55,1988618.8738719998,1763.0161809299998,1986855.8576910698,190.98873956465152,313.3530961771014,12.309705,0.921463491562845,89.1075931875602,2009523.6371600002,-22551.654301,97.14454040875799,0.8620021224321669
HYPE,Fear,27951.0,13537.0,0.4843118314192694,63327528.27,840306.3531760001,11334.708909,828971.6442670001,29.658031707881655,61.615923668907435,5.4274949999999995,0.8811405776759991,13.231828444314077,902285.2800580001,-68190.52135200001,13.090225797739004,1.7898549364936396
SOL,Fear,3914.0,2061.0,0.5265712825753704,51824505.650000006,741594.285928,11549.991673,730044.2942549998,186.52128110756254,357.2419930640466,12.527263999999999,0.9092673459485686,13.773775345458038,793915.382644,-57639.634939,14.086854955943023,2.228673776649908
@107,Greed,8398.0,5038.0,0.5999047392236246,16923981.98,724342.30586,1596.56603756,722745.7398224398,86.06165037180756,143.4699775182612,10.620421,0.7643906312028583,6.541841620448487,853228.019489,-130426.27275199999,42.70541889471096,0.9433749335391339
ETH,Fear,2850.0,1428.0,0.5010526315789474,39635351.099999994,675064.576785,6163.713256,668900.8635290001,234.70205737859652,470.68251093487396,36.8441635,0.8319327731092437,4.00811735717577,895574.9192629999,-223440.29364800002,16.876370335193023,1.5551049971650184
HYPE,Extreme Fear,10278.0,4761.0,0.46322241681260945,29253178.69,482083.80890899996,4136.353762,477947.45514700003,46.50199018748784,100.70172308002519,10.357066000000001,0.8508716656164671,8.95893724084552,539680.2155769999,-60239.31199300001,16.33830840100748,1.4139843761368687
SOL,Greed,1586.0,507.0,0.319672131147541,22849528.78,451690.01397699997,4909.245028,446780.768949,281.7028808001261,886.637882076923,27.762006,0.8974358974358975,24.297951297414844,468820.038624,-19294.632411000002,19.55317211355638,2.148510402672733
BTC,Fear,9870.0,4342.0,0.439918946301925,300912163.3,482649.64405600005,57718.829772,424930.8142840001,43.05276740466059,104.2873304064947,5.036900999999999,0.8493781667434362,4.836245150531355,570851.7335679999,-118036.14494299999,1.4121423661440942,1.9181288366351654
ETH,Greed,3574.0,1557.0,0.4356463346390599,37325288.1,351036.01291399996,8068.980315999999,342967.032598,95.96167672020147,222.6685091708413,0.633618,0.5690430314707772,2.371524537586644,599475.5221889999,-252780.65340999997,9.188597062643971,2.1617998752968766
SOL,Neutral,1400.0,810.0,0.5785714285714286,16118744.79,303376.19464999996,3847.771386,299528.423264,213.94887376,371.3283681271605,30.22704,0.8975308641975308,129.1197390697877,303123.594408,-2347.6162249999998,18.582614661771064,2.387140832695075
HYPE,Neutral,17324.0,8538.0,0.4928422996998384,27570986.89,300100.241102,5773.017698,294327.223404,16.989564962133457,34.759620007847275,3.1748070000000004,0.8354415553993909,9.41238105040324,332056.30808,-35278.672453,10.675251654149257,2.093874158742527
ETH,Extreme Fear,1393.0,784.0,0.5628140703517588,7720053.08,274320.23069,1378.4603909999998,272941.770299,195.93809784565687,349.22242142219386,11.965872,0.9897959183673469,29.7836830791491,283302.377872,-9511.999477,35.35490850524049,1.7855581777942904
@107,Neutral,4210.0,1932.0,0.45890736342042754,7717676.43,219551.95085800003,1048.29730258,218503.65355541997,51.90110535758194,113.12098788768115,7.5419825,0.8669772256728778,13.52331231804257,236001.18181799998,-17451.433219,28.31210345980001,1.3583068843169936
MELANIA,Fear,1985.0,595.0,0.29974811083123426,3477530.6399999997,196849.124287,362.442808,196486.68147900002,98.98573374256928,330.6234735714285,59.419164,0.9949579831932773,7365.7374187508385,196747.677974,-26.711199,56.50178296603018,1.0422418823030126
HYPE,Greed,6769.0,2770.0,0.4092184960850938,11751723.200000001,166307.64006499999,2476.147706,163831.49235900003,24.203204662283945,59.614149819494585,6.454922,0.9043321299638989,43.83363766512524,168986.370605,-3855.1756050000004,13.941061201901013,2.1070507395885567
HYPE,Extreme Greed,5683.0,2405.0,0.4231919760689776,10086789.0,159686.55650900002,1641.702365,158044.85414399998,27.810109826500085,66.04692968690229,14.185806,0.9700623700623701,115.28749877806355,160232.71927200002,-1389.8533750000001,15.668500069149854,1.6275767888076178
BTC,Neutral,4753.0,1812.0,0.3812329055333474,98386717.32,165980.34562699997,21399.896727000003,144580.44890000002,30.418777382705663,85.1471205584989,9.852893,0.859271523178808,2.5098268817988214,256474.84278299997,-102188.26033100001,1.4695118694707157,2.175079859347014
ZRO,Greed,1152.0,720.0,0.625,885934.05,143815.507053,151.757156,143663.749897,124.70811623003472,199.6455015638889,1.4136245,0.5319444444444444,34.93569916637171,147980.55896300002,-4235.797837,162.16077246043315,1.7129622233167356
