date,gross_pnl,fees,net_pnl,notional_usd,rows,realized_trades,value,classification,sentiment_delta,accounts,coins,pnl_per_1k_notional
2023-05-01,0.0,0.0,0.0,477.0,3,0,63.0,Greed,0.0,1,1,0.0
2023-12-05,0.0,12.501455,-12.501455,50005.83,9,0,75.0,Extreme Greed,1.0,1,2,-0.2499999500058293
2023-12-14,-205.43473700000007,28.300831000000002,-233.73556800000003,113203.35,11,6,72.0,Greed,7.0,1,4,-2.064740734262723
2023-12-15,-24.632033999999997,2.652489,-27.284523,10609.95,2,2,70.0,Greed,-2.0,1,1,-2.5715976983868916
2023-12-16,0.0,3.8371890000000004,-3.8371890000000004,15348.77,3,0,67.0,Greed,-3.0,1,1,-0.2499997719686985
2023-12-17,304.982785,29.069499,275.91328599999997,116278.02,14,11,73.0,Greed,6.0,1,3,2.3728756819216557
2023-12-18,0.0,7.791045,-7.791045,31164.179999999997,2,0,65.0,Greed,-8.0,1,1,-0.25000000000000006
2023-12-19,1000.5386120000001,22.900596,977.638016,91602.41,15,10,73.0,Greed,8.0,1,2,10.672623307618217
2023-12-20,162.732282,35.409187,127.323095,141636.79,18,8,74.0,Greed,1.0,1,2,0.8989408401588315
2023-12-21,537.211402,31.308469,505.902933,125233.97,49,27,70.0,Greed,-4.0,1,1,4.0396621859069075
2023-12-22,141.832675,22.218566000000003,119.61410899999998,88874.28,10,2,74.0,Greed,4.0,1,2,1.3458799216151172
2023-12-23,146.936704,19.609555,127.327149,78438.25,13,8,70.0,Greed,-4.0,1,2,1.6232788084894805
2023-12-24,1008.619956,100.738715,907.881241,402954.94,39,17,71.0,Greed,1.0,1,4,2.253058967337638
2023-12-25,-245.081348,14.987124999999999,-260.068473,59948.51,3,1,73.0,Greed,2.0,1,1,-4.338197446441955
2023-12-27,-704.8892269999999,42.852747,-747.741974,171411.06,28,13,73.0,Greed,2.0,1,2,-4.362273787934104
2023-12-28,-970.730876,25.0293,-995.760176,100117.25,23,13,73.0,Greed,0.0,1,2,-9.945940145179776
2023-12-29,508.92214299999995,142.389901,366.532242,569559.72,50,20,65.0,Greed,-8.0,1,4,0.6435361018858567
2023-12-30,354.998648,175.637526,179.36112199999997,702550.21,52,33,68.0,Greed,3.0,1,3,0.25530007599029825
2024-01-01,-129.53146,66.059867,-195.59132699999998,264239.52999999997,18,6,65.0,Greed,-2.0,1,3,-0.7402046431130119
2024-01-02,783.979116,30.337176,753.64194,121348.74,17,9,71.0,Greed,6.0,1,2,6.210546067474619
2024-01-03,866.015507,98.624811,767.390696,394499.36,67,35,70.0,Greed,-1.0,1,6,1.9452267197594442
