classification,direction_group,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
Extreme Fear,Long,13257.0,6252.0,0.4715999094817832,85493460.35,495164.347952,17781.346967,477383.0009849999,36.00988164630006,77.69949954254638,12.174579,0.8445297504798465,3.318952739061025,695258.586976,-209481.31583600002,5.583854005097594,2.079848785416486
Extreme Fear,Other,3.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,,,,inf,0.0,0.0,0.0,0.0
Extreme Fear,Short,6291.0,3117.0,0.4954697186456843,26326014.42,384638.54334300006,5525.499631999999,379113.043711,60.26276326673025,122.6016540105871,2.628979,0.696503047802374,2.410091420611574,653159.6957069999,-271010.340156,14.400700298294526,2.0988743468142483
Extreme Fear,Spot/Swap,1849.0,1037.0,0.5608436992969172,2664785.9799999995,-140692.64280499998,581.7873403868999,-141274.4301453869,-76.405857298749,-136.01409788813888,-1.896344,0.4185149469623915,0.10829201177054171,17129.175000999996,-158175.794511,-53.01530074298384,2.1832422744392406
Extreme Greed,Long,13504.0,7203.0,0.5333975118483413,57734155.39,445289.69357899996,14552.471097,430737.222482,31.89700995867891,60.833053584478684,10.049806,0.8822712758572817,17.566341654071046,464630.530134,-26450.045165,7.460700162188689,2.5205999808426403
Extreme Greed,Other,32.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,,,,inf,0.0,0.0,0.0,0.0
Extreme Greed,Short,14160.0,6489.0,0.45826271186440676,45178887.86,188221.270963,10051.489008,178169.78195499998,12.582611719985875,28.267451797041147,4.429779999999999,0.8534442903374942,1.844390683435611,400658.09460899996,-217230.599898,3.94365134677753,2.2248199289782167
Extreme Greed,Spot/Swap,12296.0,7161.0,0.5823845152895251,21552120.009999998,2081660.3461310002,2426.70536015,2079233.64077085,169.0983767705636,290.4479078956849,12.936804,0.9247311827956989,72.13583092178808,2109135.862672,-29238.394231,96.47466884028596,1.1259706047590816
Fear,Long,35116.0,17292.0,0.4924251053650757,325898946.37,1452736.033334,58381.25196999999,1394354.781364,39.70710734035767,82.27021885079805,6.48501,0.8830094841545223,4.833383469450203,1793729.150862,-371112.526494,4.278488153751069,1.7913912462827821
Fear,Other,42.0,0.0,0.0,11.849999999999998,0.0,0.0,0.0,0.0,,,,inf,0.0,0.0,0.0,0.0
Fear,Short,20108.0,9212.0,0.4581261189576288,147644388.18,1914986.4622430003,31358.136208,1883628.3260350002,93.67556823329024,206.18175127420758,7.41892,0.8458532349109856,13.206282673484651,2054950.2832030002,-155603.99046499998,12.757872813551051,2.1238962479068193
Fear,Spot/Swap,6571.0,3304.0,0.5028154010044134,9781443.39,-10567.053935,2717.5604961548,-13284.614431154809,-2.021703611498221,-3.573453784503628,1.7760435,0.7221549636803875,0.8420892748570451,62961.449323,-74768.140627,-1.358144590882799,2.778281678686687
Greed,Long,16581.0,8001.0,0.48254025692057173,170801712.1,714169.219693,38767.118834,675402.100859,40.73349622212171,87.2549340728659,6.381241,0.8578927634045744,10.432423955050773,772140.229332,-74013.50181500001,3.9543052148304545,2.2697148850184155
Greed,Other,64.0,9.0,0.140625,170297.94999999998,57449.240657999995,0.0,57449.240657999995,897.6443852812499,6383.248962,3254.653548,0.8888888888888888,1967.4048270074843,57478.45602599999,-29.215368,337.3454622207725,0.0
Greed,Short,22993.0,11326.0,0.4925846996912104,98742353.82000001,654642.4822430001,21832.289843,632810.1924,27.521862845213764,56.74724439519689,2.6636290000000002,0.6794102066042733,1.754267189933347,1494830.184671,-852110.894651,6.408700703586287,2.2110359940171818
Greed,Spot/Swap,10671.0,5846.0,0.5478399400243651,18956799.71,766340.324487,2507.7955061683,763832.5289808316,71.58022012752616,130.79367253848787,10.782204,0.7894286691755046,6.499408379066897,903656.549061,-139036.739401,40.29332696794271,1.3229002492680237
Neutral,Long,20242.0,10012.0,0.49461515660507854,124464593.92999999,528354.8010509999,26215.425434999997,502139.37561600003,24.806806423080726,51.194877266280464,3.3656040000000003,0.8594686376348382,3.8688920239141074,691225.5031229999,-178662.391933,4.034395322885219,2.10625565128536
Neutral,Other,10.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,,,,inf,0.0,0.0,0.0,0.0
Neutral,Short,12203.0,5849.0,0.4793083667950504,47427022.78,554558.4327439999,11452.924216,543105.508528,44.50590088732279,93.8899177994529,7.437368,0.7715848863053514,4.013889690648482,731372.556788,-182210.427579,11.45139367164805,2.414852028373517
Neutral,Spot/Swap,5231.0,2298.0,0.4393041483463965,8350442.06,210007.441755,1705.9186528708003,208301.5231021292,39.820593213941734,90.91938476936467,5.4353275,0.7728459530026109,7.579838553362632,240686.22229300003,-31753.476093,24.944969572320964,2.042908196492295
