hour,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
0,9856.0,4769.0,0.4838676948051948,75991720.07,425052.507901,16440.270031029497,408612.2378699705,41.458222186482395,87.2555066257077,6.8045409999999995,0.8406374501992032,2.693569550583742,661828.285263,-245706.774165,5.377062625948934,2.16342912305255
1,10481.0,5950.0,0.567693922335655,81311125.4,523198.62636999995,17197.935873298,506000.690496702,48.27790196514665,86.56773911260505,8.088468,0.8870588235294118,3.6503195734657186,709423.6854599998,-194345.63774,6.223019150300703,2.1150778308251037
2,8181.0,3769.0,0.4607016257181274,62693163.74,279834.366301,13938.367239220599,265895.9990617794,32.50165005033363,72.60521263067128,4.340211,0.8222340143274078,3.8864368014824224,368454.18686899997,-94805.14046400001,4.241227961704064,2.2232674836806057
3,10524.0,4256.0,0.40440896997339415,66070901.179999985,460020.571385,15617.022216139601,444403.5491688604,42.22762724903653,106.05319131649436,5.669603,0.8193139097744361,3.715584288727287,617574.266778,-166211.88453500002,6.7261614603704505,2.363676283693094
4,10015.0,4359.0,0.4352471293060409,60206043.24000001,487367.59288600006,13315.8190206906,474051.77386530937,47.334176122347415,110.6254612158752,5.376761,0.7428309245239734,9.794562853512685,537047.579835,-54831.194395,7.873823761770751,2.211708045255458
5,9538.0,3944.0,0.41350387921996223,75672220.61,385913.30319299997,14799.4430209077,371113.86017209233,38.90898093647435,96.00178622667345,6.505354499999999,0.815922920892495,15.766048276157537,404273.0472469999,-25642.002368999998,4.904228489404869,1.9557299761534908
6,9057.0,4369.0,0.4823893121342608,40643066.989999995,298730.75869399996,8565.3647103357,290165.39398366434,32.03769393658654,67.49438927878232,3.9449699999999996,0.7390707255664912,5.045133697008292,367781.192071,-72898.20531199999,7.1393577176411895,2.1074602249980696
7,8585.0,4160.0,0.48456610366919045,39759412.09,712784.325348,7997.8490846093,704786.4762633906,82.09510498117538,170.3013964449519,6.207044,0.8127403846153847,7.66761860797746,814706.7086139999,-106252.89940299999,17.72628012376102,2.011561203798801
8,7848.0,4349.0,0.5541539245667686,41807499.910000004,462140.62293099996,8311.7837673186,453828.8391636814,57.82732405245685,105.2343358696252,5.3385549999999995,0.7530466773971027,3.6256805348627195,631967.177133,-174303.050436,10.855201582028332,1.988108302388704
9,6548.0,3616.0,0.5522296884544899,24540143.35,294525.282383,3617.7419214214997,290907.5404615785,44.42693043090692,81.06224377682523,4.7908855,0.9258849557522124,12.102087933942546,319523.411079,-26402.337582,11.854353754684913,1.4742138502713757
10,6745.0,3251.0,0.48198665678280206,14877407.86,413788.81296600006,2805.9129579281002,410982.9000080719,60.93148999378383,126.71637886773301,4.552085,0.7286988618886496,12.082168454770647,449127.7220869999,-37172.774388000005,27.62463084130786,1.8860227428947425
11,6150.0,3554.0,0.5778861788617886,17436433.439999998,472707.466164,3519.6677880038005,469187.79837599624,76.29069892292621,132.44624301350592,6.399383500000001,0.8398987056837366,6.479207567900455,556623.076287,-85909.128617,26.908472996527912,2.0185709423404887
12,6950.0,3739.0,0.5379856115107914,21547514.87,911657.260379,3263.735897438,908393.524481562,130.70410424195137,243.3208224092003,10.825606,0.7830970847820273,25.02007220568028,947652.234428,-37875.67944,42.15769335638296,1.514669286518051
13,8301.0,3663.0,0.4412721358872425,20108307.61,434825.879679,3839.5249496118,430986.3547293882,51.91981143589787,118.12932052634453,4.539526,0.8771498771498771,7.13286130795998,503263.299749,-70555.59866100001,21.433248540272764,1.909422226912014
14,6840.0,2990.0,0.4371345029239766,21180584.86,158171.107001,4095.4576587368997,154075.64934226312,22.52567972840104,52.21133456822742,6.956702999999999,0.8408026755852843,6.65538237738778,183716.016825,-27604.126465999998,7.274381248708499,1.9335904488979725
15,7301.0,3726.0,0.5103410491713464,21535274.950000003,427562.29234999995,4028.0634987379,423534.22885126213,58.010440878134794,114.16567688593666,8.0785165,0.8505099302200751,15.464212978712528,454790.53833099996,-29409.226253999997,19.66699890456992,1.8704490693014806
16,5865.0,3079.0,0.5249786871270247,26349971.479999997,246188.87354899998,6012.007501034699,240176.8660479653,40.95087230144336,78.51283018122767,4.285403,0.8366352711919455,14.707689204192622,259376.434909,-17635.430781000003,9.114881442291615,2.2815992440818764
17,6299.0,3269.0,0.5189712652802032,31914031.64,217196.36996000004,7311.682160330998,209884.687799669,33.32031874895523,65.37640925757113,6.298238,0.776690119302539,4.567819664803699,273616.34624,-59900.864377,6.576564508277494,2.291055621805794
18,9641.0,4871.0,0.5052380458458666,54481685.69,433781.633348,12684.567463383,421097.06588461704,43.677737359674,87.71209904639706,6.112352,0.9238349414904538,22.677138675240105,446955.137672,-19709.503217,7.729148989270509,2.3282259538660397
19,12628.0,6871.0,0.5441083306936966,72960699.97,705423.686372,15436.018791329601,689987.6675806703,54.63950487651808,101.43018476539078,3.59088,0.7719400378401979,5.895122846469182,839298.466462,-142371.66693900002,9.456977083064988,2.115662102704139
20,12731.0,5939.0,0.4664990966931113,66254249.18,632875.0648759999,14297.3704852999,618577.6943907001,48.588303698900326,105.53227525071561,6.428161,0.8184879609361846,4.767365838808512,793120.7487079999,-166364.565994,9.336422977342087,2.157955250003167
21,11022.0,5653.0,0.5128833242605698,69296423.88,343553.581166,13969.383485739,329584.1976802609,29.902394999116396,59.59751212082082,6.229027,0.8427383690076066,1.6941572034817074,822248.307085,-485343.57106600003,4.7561501622507825,2.0158880795825276
22,10096.0,5155.0,0.5105982567353408,100033205.13999999,381715.759771,15877.642700008,365838.117070992,36.235946619551505,72.67547989447138,4.139247,0.8354995150339476,6.527683127439804,442417.70940000005,-67775.610544,3.6571668033528337,1.5872372256578886
23,10022.0,5107.0,0.5095789263620036,84516355.31,187943.198463,18915.088343178002,169028.11011982197,16.86570645777509,34.53221659898178,6.760791,0.8482475034266693,1.313878441363459,738216.951249,-561860.921078,1.999945566746683,2.238038811990744
