Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Fee,dt,date,value,classification,sentiment_delta,net_pnl,is_realized,is_win,direction_group,size_bucket
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9769,986.87,7872.16,BUY,02-12-2024 22:50,0.0,Buy,0.0,0.34540448,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.34540448,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.98,16.0,127.68,BUY,02-12-2024 22:50,986.5245955,Buy,0.0,0.0056,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.0056,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9855,144.09,1150.63,BUY,02-12-2024 22:50,1002.518996,Buy,0.0,0.0504314,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.0504314,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9874,142.98,1142.04,BUY,02-12-2024 22:50,1146.558564,Buy,0.0,0.05004294,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.05004294,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9894,8.73,69.75,BUY,02-12-2024 22:50,1289.488521,Buy,0.0,0.00305542,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00305542,False,False,Spot/Swap,<$100
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.99,1.41,11.27,BUY,02-12-2024 22:50,1298.215466,Buy,0.0,0.00049349,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00049349,False,False,Spot/Swap,<$100
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9934,144.09,1151.77,BUY,02-12-2024 22:50,1299.624972,Buy,0.0,0.05043148,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.05043148,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,34.0,272.0,BUY,02-12-2024 22:50,1443.664541,Buy,0.0,0.0119,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.0119,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,46.0,368.0,BUY,02-12-2024 22:50,1477.652641,Buy,0.0,0.0161,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.0161,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,12.5,100.0,BUY,02-12-2024 22:50,1523.636541,Buy,0.0,0.004375,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.004375,False,False,Spot/Swap,<$100
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8.0,1463.33,11706.64,BUY,02-12-2024 22:50,1536.132166,Buy,0.0,0.5121655,2024-12-02 22:50:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.5121655,False,False,Spot/Swap,$10k-$100k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9457,7.27,57.77,BUY,02-12-2024 22:51,2998.95,Buy,0.0,0.00254439,2024-12-02 22:51:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00254439,False,False,Spot/Swap,<$100
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9487,100.0,794.87,BUY,02-12-2024 22:51,3006.217456,Buy,0.0,0.03499993,2024-12-02 22:51:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.03499993,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9499,28.62,227.53,BUY,02-12-2024 22:51,3106.182456,Buy,0.0,0.01001698,2024-12-02 22:51:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.01001698,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.95,1866.11,14835.57,BUY,02-12-2024 22:51,3134.792439,Buy,0.0,0.65313849,2024-12-02 22:51:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.65313849,False,False,Spot/Swap,$10k-$100k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9271,100.0,792.71,BUY,02-12-2024 22:54,5000.249301,Buy,0.0,0.03499993,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.03499993,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9271,98.0,776.86,BUY,02-12-2024 22:54,5100.214301,Buy,0.0,0.03429993,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.03429993,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9272,21.01,166.55,BUY,02-12-2024 22:54,5198.180001,Buy,0.0,0.00735341,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00735341,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9275,20.27,160.69,BUY,02-12-2024 22:54,5219.182647,Buy,0.0,0.00709441,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00709441,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9285,151.92,1204.5,BUY,02-12-2024 22:54,5239.445553,Buy,0.0,0.05317197,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.05317197,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9292,25.0,198.23,BUY,02-12-2024 22:54,5391.312381,Buy,0.0,0.00874993,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00874993,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9295,9.0,71.37,BUY,02-12-2024 22:54,5416.303631,Buy,0.0,0.00314988,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00314988,False,False,Spot/Swap,<$100
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9298,144.09,1142.6,BUY,02-12-2024 22:54,5425.300481,Buy,0.0,0.05043141,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.05043141,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9311,16.05,127.29,BUY,02-12-2024 22:54,5569.34005,Buy,0.0,0.00561737,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.00561737,False,False,Spot/Swap,$100-$1k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9315,200.0,1586.3,BUY,02-12-2024 22:54,5585.384432,Buy,0.0,0.07,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.07,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9323,294.37,2335.03,BUY,02-12-2024 22:54,5785.314432,Buy,0.0,0.10302938,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.10302938,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9324,259.34,2057.19,BUY,02-12-2024 22:54,6079.581403,Buy,0.0,0.09076899,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.09076899,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9355,311.25,2469.92,BUY,02-12-2024 22:54,6338.830634,Buy,0.0,0.10893743,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.10893743,False,False,Spot/Swap,$1k-$10k
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9369,94.79,752.34,BUY,02-12-2024 22:54,6649.971696,Buy,0.0,0.03317642,2024-12-02 22:54:00,2024-12-02,80.0,Extreme Greed,-1.0,-0.03317642,False,False,Spot/Swap,$100-$1k
