feature,coefficient,abs_coefficient
cat__coin_bucket_ONDO,2.013828582577065,2.013828582577065
cat__coin_bucket_kPEPE,-1.9531797851799344,1.9531797851799344
cat__coin_bucket_ZRO,-1.7218484855310074,1.7218484855310074
cat__direction_group_Spot/Swap,-1.5291161047669768,1.5291161047669768
cat__coin_bucket_PURR/USDC,1.3936196716089835,1.3936196716089835
cat__coin_bucket_@107,1.3909457811807937,1.3909457811807937
cat__coin_bucket_XRP,-0.9566357022554809,0.9566357022554809
cat__coin_bucket_SOL,-0.9285317259544388,0.9285317259544388
cat__coin_bucket_ETH,-0.8959020445358854,0.8959020445358854
cat__coin_bucket_PURR,0.8526134700553809,0.8526134700553809
cat__direction_group_Short,0.7347138656150268,0.7347138656150268
cat__coin_bucket_WLD,0.6886745665772701,0.6886745665772701
cat__coin_bucket_SUI,0.6424726803090384,0.6424726803090384
cat__coin_bucket_MELANIA,0.6415733941712377,0.6415733941712377
cat__classification_Fear,0.5821260094075544,0.5821260094075544
cat__coin_bucket_@142,-0.5391494592951587,0.5391494592951587
num__value,0.4905191237384364,0.4905191237384364
cat__classification_Greed,-0.4532099741340398,0.4532099741340398
cat__weekday_Tuesday,-0.42498776166684654,0.42498776166684654
cat__direction_group_Long,0.4173948342512459,0.4173948342512459
cat__coin_bucket_BTC,-0.4061827683832452,0.4061827683832452
cat__Side_BUY,-0.3616770245703896,0.3616770245703896
cat__weekday_Friday,0.3615090394905038,0.3615090394905038
cat__classification_Extreme Fear,0.35095229358966484,0.35095229358966484
cat__classification_Extreme Greed,-0.33603387610788993,0.33603387610788993
cat__coin_bucket_kBONK,0.3112826245779534,0.3112826245779534
cat__coin_bucket_FTT,-0.30684034722242076,0.30684034722242076
cat__direction_group_Other,0.2719423600397176,0.2719423600397176
cat__weekday_Monday,-0.26513028544547046,0.26513028544547046
cat__weekday_Thursday,0.26360163094895617,0.26360163094895617
cat__Side_SELL,0.2566119797100864,0.2566119797100864
cat__coin_bucket_TRUMP,-0.2519918477670965,0.2519918477670965
cat__classification_Neutral,-0.24889949761578906,0.24889949761578906
cat__weekday_Sunday,0.21853201533303793,0.21853201533303793
cat__weekday_Wednesday,-0.20795363831026528,0.20795363831026528
num__sentiment_delta,0.20788922758707565,0.20788922758707565
cat__coin_bucket_OTHER,-0.1022549818814041,0.1022549818814041
cat__weekday_Saturday,-0.05063604521067187,0.05063604521067187
cat__coin_bucket_HYPE,0.039029053437853886,0.039029053437853886
num__log_size_usd,-0.026115906194967873,0.026115906194967873
cat__coin_bucket_FARTCOIN,-0.01658772135018822,0.01658772135018822
num__hour,-0.010341832670329273,0.010341832670329273
