classification,size_bucket,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
Extreme Fear,<$100,2849.0,1366.0,0.47946647946647947,115763.39,-1380.915614,25.3506965079,-1406.2663105079,-0.4935999685882415,-1.0199940197657393,0.200899,0.7174231332357247,0.5994695414821009,2085.354526,-3478.666357,-12.147763731762693,2.189871643176655
Extreme Fear,$100-$1k,9137.0,4303.0,0.4709423224253037,4399117.3100000005,38089.361842,918.2363201109999,37171.125521889,4.068198043328117,8.743066443411573,4.049473,0.7452939809435277,1.8078869304949545,84189.088532,-46567.673626,8.449678174617487,2.0873194675297255
Extreme Fear,$1k-$10k,7462.0,3882.0,0.5202358616992764,23657815.04,126052.090952,4816.903694248,121235.187257752,16.247009817441974,31.772178591447712,24.001312000000002,0.7712519319938176,1.4663870290434107,387797.20355299994,-264457.60626100004,5.124530183906282,2.036072936618918
Extreme Fear,$10k-$100k,1782.0,773.0,0.4337822671156005,54104851.769999996,299404.77186399995,11622.446506520002,287782.32535748,161.49400974044892,380.07652082923676,150.70293900000001,0.8214747736093143,2.1605600895791457,546952.049136,-253152.898535,5.318974471658182,2.148133878256812
Extreme Fear,>$100k,170.0,82.0,0.4823529411764706,32206713.93,276944.93944600003,6505.696722,270439.242724,1590.8190748470588,3335.5262952804887,310.52432799999997,0.8414634146341463,4.851722618394151,344523.761937,-71010.60572400001,8.396983415066462,2.0199815281186
Extreme Greed,<$100,9564.0,5587.0,0.5841698034295274,421444.78,25828.172317000004,135.83668744,25692.335629560002,2.68635880693852,4.612768164310005,1.143101,0.9142652586361195,4.7992185432171945,32554.913799999995,-6783.378066000001,60.962519525238875,3.223119466327237
Extreme Greed,$100-$1k,16197.0,8429.0,0.5204050132740631,6853729.25,309314.27488100005,1640.0789344300001,307674.19594657,18.995752049550536,36.60695700261004,8.951763,0.8859888480246767,30.104835165190014,319161.716854,-10601.676279,44.89150135987208,2.3929730437338184
Extreme Greed,$1k-$10k,11642.0,5721.0,0.49141041058237417,35230315.07,1125370.8135870001,6575.186735859999,1118795.62685114,96.09995076886618,196.10094182765252,42.952196,0.8771193847229505,18.713921898267376,1185227.4858640002,-63333.997668,31.756617124433227,1.8663434382563981
Extreme Greed,$10k-$100k,2528.0,1090.0,0.4311708860759494,72250984.23,1185425.86167,16409.65768685,1169016.20398315,462.42729587941056,1080.0610740018349,209.6587995,0.8247706422018348,7.21506496760723,1366688.013044,-189421.44238200004,16.179934660291476,2.2712019582477043
Extreme Greed,>$100k,61.0,26.0,0.4262295081967213,9708691.24,69232.18821800001,2269.9054205700004,66962.28279742999,1097.7423409414753,2615.9158828461536,810.7190305,0.8461538461538461,25.478212671128045,70792.357853,-2778.544899,6.897148250172387,2.3380138109840645
Fear,<$100,9257.0,4387.0,0.4739116344388031,349791.06000000006,6586.362535,848.9032239318,5737.4593110682,0.6197968360233553,1.4931350852518805,0.192807,0.8413494415317985,8.325067212949143,7444.625736999999,-894.2421180000001,16.402532732163593,24.268865646017364
Fear,$100-$1k,26027.0,12385.0,0.47585199984631343,12121423.35,188347.682966,2775.4526431100003,185572.23032288998,7.129989254347024,15.099619937505047,3.9548279999999996,0.863948324586193,7.812374455872949,214460.130802,-27451.337876,15.30944221355737,2.289708529246279
Fear,$1k-$10k,19911.0,9992.0,0.5018331575511024,63896333.72,966897.991371,13517.378883173,953380.6124878271,47.88210599607388,96.0608522851281,21.0901535,0.850480384307446,7.893840265029184,1099071.5817510001,-139231.545718,14.920740471051664,2.1155171347400743
Fear,$10k-$100k,5812.0,2636.0,0.45354439091534754,179868895.26,1384738.037013,37058.542818940005,1347679.49419406,231.87878427289402,518.402634642261,86.82865699999999,0.84597875569044,8.535595563268497,1547849.934847,-181340.58993000002,7.492565583649097,2.060308580056156
Fear,>$100k,830.0,408.0,0.491566265060241,227088346.39999998,810585.367757,38256.671105,772328.6966520001,930.5165019903616,1936.8815399681375,543.546093,0.803921568627451,4.128864221993931,1042814.6102509999,-252566.94194400002,3.4010054187967795,1.6846602527816903
Greed,<$100,9047.0,4969.0,0.5492428429313585,376726.88,11499.435881,162.3029084863,11337.1329725137,1.2531372800390959,2.3056401909841013,0.404924,0.7659488830750654,5.809729982360708,13838.715566,-2381.9894569999997,30.09377237035409,4.308238065898032
Greed,$100-$1k,21761.0,10712.0,0.4922567896695924,9582845.02,186941.027066,2049.0461578590002,184891.980908141,8.496483659213318,17.359835394884243,3.7876905,0.7234876773711725,3.978478505478064,248392.633883,-62434.077133,19.29405938656629,2.1382440742624054
Greed,$1k-$10k,14759.0,7405.0,0.5017277593332882,47673155.42,704165.4947929999,10444.441392023,693721.053400977,47.00325587106017,94.38664193598919,27.295439000000002,0.8085077650236326,4.373694350304395,906104.513714,-207171.430178,14.551607656118035,2.1908433163291963
Greed,$10k-$100k,4322.0,1894.0,0.43822304488662656,126809622.65,1145891.816793,28889.19729983,1117002.61949317,258.44577035936373,598.0995229250265,77.5100545,0.7740232312565998,3.9640533810800647,1514980.01574,-382179.51932,8.808500460380243,2.2781549772106353
Greed,>$100k,420.0,202.0,0.48095238095238096,104228813.61000001,144103.492548,21562.21642497,122541.27612303002,291.7649431500715,662.2089358415842,222.442855,0.8564356435643564,1.325446741344161,544789.5401870001,-411023.335147,1.1756948187240333,2.068738545336494
Neutral,<$100,7150.0,3519.0,0.49216783216783216,272852.55,2327.688968,282.8585507518,2044.8304172481996,0.28599026814660133,0.6536547914180163,0.17464500000000002,0.8161409491332765,2.1282659023335024,4338.924963,-2038.713752,7.494269037427723,10.366718242208108
Neutral,$100-$1k,16505.0,7537.0,0.45664950015146927,7363832.49,76248.04313500001,1821.5858896989998,74426.45724530099,4.509327915498393,10.006741202202468,3.559663,0.8220777497678121,4.8088991430548464,95222.017559,-19801.209118,10.107027467880519,2.4736927302090215
Neutral,$1k-$10k,11265.0,5686.0,0.5047492232578784,35236230.04,504179.955759,8058.117439739999,496121.8383192599,44.04099763153661,87.85402633731972,22.628866000000002,0.8118185015828351,5.883953062981375,601819.483218,-102281.489464,14.079878515836251,2.286884104965958
Neutral,$10k-$100k,2541.0,1281.0,0.5041322314049587,74784169.4,511557.10223400005,17747.643220680002,493809.4590133199,194.33666234290433,391.65537712568306,153.408898,0.8485558157689306,3.542049948114136,699075.085742,-197364.54764399998,6.603128215171698,2.373181832875983
Neutral,>$100k,225.0,136.0,0.6044444444444445,62584978.599999994,198607.88545399997,11464.063203,187143.822251,831.7503211155556,1409.4737874632353,961.536132,0.9044117647058824,3.6945112558935995,262828.770722,-71140.33562700001,2.990235459647501,1.831759546690969
